Continent,Year,"GDP per capita, PPP (constant 2021 international $)",Gini coefficient,Political regime,Trade (% of GDP)
Africa,1990,6376.8272,0.3710436033333333,0.6666666666666666,67.23690066666667
Africa,1991,2321.4474400000004,0.45594017600000003,0.6,40.8910392
Africa,1992,1820.6332200000002,0.453995146,0.8,39.2289738
Africa,1993,6254.8424,0.54812183,1.0,56.42173416666666
Africa,1994,2122.986233333333,0.446716485,1.5,48.108683500000005
Africa,1995,7078.340933333333,0.36495832666666667,1.0,72.45882999999999
Africa,1996,1926.3977,0.4627667375,1.0,48.837969
Africa,1997,2754.29,0.422076985,1.5,45.4654335
Africa,1998,2560.2740166666667,0.44789159833333336,0.8333333333333334,50.79549733333334
Africa,1999,8183.300075,0.3879812525,1.25,50.91873925
Africa,2000,5540.956533333333,0.44004937666666666,1.0,48.78574966666667
Africa,2001,3056.4813999999997,0.44629215999999994,1.6,58.9384986
Africa,2002,3785.93046,0.4624666366666667,1.3333333333333333,57.340618
Africa,2003,3076.78185,0.45405260333333336,1.6666666666666667,58.310896500000005
Africa,2004,5281.7484,0.45551166249999997,1.0,59.90220975
Africa,2005,6226.303672727273,0.45425857545454545,1.6363636363636365,66.31125518181818
Africa,2006,7341.282422857143,0.41172716,1.4285714285714286,84.59262114285714
Africa,2007,3466.679,0.413887346,1.4,60.4208258
Africa,2008,7477.042383333333,0.45696561499999994,1.0,75.4265015
Africa,2009,5665.64675,0.45634021999999996,1.8333333333333333,63.8172615
Africa,2010,6414.2655875,0.45645976125,1.25,55.398627375000004
Africa,2011,4275.53381,0.39601707799999997,1.4,69.1070387
Africa,2012,7565.2764,0.377367245,1.5,72.70135166666667
Africa,2013,8011.428453999999,0.42844772200000003,0.8,141.5339166
Africa,2014,4711.017925,0.431744685,1.375,60.368161875
Africa,2015,7259.897381818181,0.43417154181818185,1.6363636363636365,68.68822563636364
Africa,2016,3511.655,0.4332513333333334,1.3333333333333333,49.52375566666666
Africa,2017,11570.7068,0.39520009000000006,1.3333333333333333,114.78516516666667
Africa,2018,5473.206515384615,0.3818955707692308,1.6153846153846154,67.63061376923078
Africa,2019,5740.37694,0.414246,1.0,67.0717786
Africa,2020,2864.546866666666,0.37486585,1.0,33.802222
Africa,2021,3883.8279363636366,0.3685235181818182,1.3636363636363635,53.962649545454546
Africa,2022,2636.792,0.44420312,1.0,79.510133
Asia,1990,5338.028566666667,0.3631029783333333,0.8333333333333334,48.88440133333334
Asia,1991,3239.8894999999998,0.356971775,1.5,31.554876500000002
Asia,1992,10438.175766666667,0.40680382666666665,0.8333333333333334,88.86643450000001
Asia,1993,5741.42155,0.324634165,1.0,47.71637975
Asia,1994,9388.23485,0.4266804225,1.5,54.282612
Asia,1995,6015.4661166666665,0.3665265383333334,1.5,88.24093883333335
Asia,1996,6974.811642857143,0.35527397714285713,0.8571428571428571,56.509710142857145
Asia,1997,10443.972642857143,0.4009261071428572,1.0,94.15083714285716
Asia,1998,6147.0351375,0.3826327775,1.125,70.29031975
Asia,1999,5332.109516666666,0.36411042666666665,1.1666666666666667,76.415477
Asia,2000,5412.464785714285,0.36693194,1.5714285714285714,71.90803857142858
Asia,2001,9726.020625,0.34533943375,1.25,66.888191125
Asia,2002,8820.0452625,0.356357795625,1.25,81.155550125
Asia,2003,9503.32316,0.36614255133333334,1.2,85.1147296
Asia,2004,12258.634992857144,0.34855765,1.6428571428571428,86.65046821428572
Asia,2005,13739.54833846154,0.3586747646153846,1.4615384615384615,72.72704730769232
Asia,2006,15669.840372222223,0.36777802944444443,1.4444444444444444,95.17556433333333
Asia,2007,14434.856857142857,0.3486454978571429,1.3571428571428572,91.31161014285715
Asia,2008,20271.080280000002,0.35781109466666666,1.5333333333333334,98.59741846666665
Asia,2009,14539.079306666668,0.35799896800000003,1.4666666666666666,71.157174
Asia,2010,17061.71301111111,0.3455216788888889,1.6111111111111112,75.97030672222223
Asia,2011,17063.90508125,0.35380739,1.5,84.4684964375
Asia,2012,17254.90517777778,0.35579353333333336,1.6111111111111112,86.46681283333334
Asia,2013,24057.313833333334,0.3525746533333333,1.4,83.50291653333333
Asia,2014,20546.027857142857,0.34801572571428574,1.5,86.5885147857143
Asia,2015,17369.4629875,0.35665597,1.375,70.946679875
Asia,2016,19371.390544444446,0.34763295555555557,1.5,77.797573
Asia,2017,28405.051513333336,0.35422790266666665,1.4,75.7664826
Asia,2018,23515.46902631579,0.34761251,1.368421052631579,89.3476702631579
Asia,2019,23450.659153333334,0.3438427666666667,1.6,78.6502738
Asia,2020,22704.708857142858,0.3402491671428572,1.5,75.06698392857143
Asia,2021,24332.554306666665,0.34591889466666664,1.4666666666666666,80.35597193333334
Asia,2022,11889.50675,0.31274086416666663,1.25,86.23975866666666
Asia,2023,13889.883,0.3605703,2.0,41.315666
Europe,1990,46596.657,0.317345642,3.0,84.079798
Europe,1991,46593.57742857143,0.2863056585714286,3.0,69.54745214285714
Europe,1992,37204.46133333333,0.27209488666666665,2.75,83.72634733333332
Europe,1993,34273.389833333335,0.3243846541666667,2.6666666666666665,77.10483183333334
Europe,1994,40067.576,0.3220233625,2.875,77.688570875
Europe,1995,38798.543000000005,0.3115199864705882,2.823529411764706,74.86491605882352
Europe,1996,33188.166592307694,0.3212932923076923,2.4615384615384617,81.86043561538462
Europe,1997,38731.60903636363,0.3151404163636364,2.6363636363636362,86.16896409090909
Europe,1998,40567.7593,0.339401717,2.5,85.8094154
Europe,1999,38120.12863846154,0.32173526461538465,2.6153846153846154,92.997672
Europe,2000,48649.61344444445,0.318036935,2.7222222222222223,97.8892678888889
Europe,2001,39820.97585555555,0.32499610444444443,2.3333333333333335,103.25563677777778
Europe,2002,41889.67997142857,0.3167238,2.2857142857142856,97.99124342857144
Europe,2003,46345.08966666667,0.31315306619047617,2.619047619047619,90.41264261904762
Europe,2004,42742.5987967742,0.3157481790322581,2.7096774193548385,97.42173835483872
Europe,2005,43063.469586666666,0.317041261,2.6666666666666665,100.35118083333333
Europe,2006,44991.16824242424,0.3153004887878788,2.6666666666666665,107.5025349090909
Europe,2007,45858.49855882353,0.3147639505882353,2.6470588235294117,108.45330061764706
Europe,2008,46042.30298529412,0.3130574061764706,2.6470588235294117,109.40194805882354
Europe,2009,43271.81725714286,0.3143815762857143,2.657142857142857,96.50297168571429
Europe,2010,43969.972285714284,0.31247405342857143,2.6285714285714286,106.32451631428572
Europe,2011,43721.9635,0.31218233916666666,2.5833333333333335,114.75756519444445
Europe,2012,42373.22486842105,0.31801085710526317,2.5789473684210527,115.33317615789474
Europe,2013,43473.996378378375,0.3194062994594594,2.5135135135135136,114.844614
Europe,2014,43369.80607894737,0.31829590105263156,2.5,114.24993368421053
Europe,2015,44487.04665789474,0.31734588868421054,2.5,115.76552784210526
Europe,2016,45349.762986842106,0.3150049818421053,2.4210526315789473,115.95952721052632
Europe,2017,46692.551578947365,0.3113555589473684,2.473684210526316,119.23457115789472
Europe,2018,47380.534108108106,0.3116015083783784,2.4324324324324325,122.15542581081081
Europe,2019,48388.51251351352,0.3095521891891892,2.4324324324324325,122.697802
Europe,2020,47005.781,0.3095881861764706,2.411764705882353,117.24244344117648
Europe,2021,50934.54350000001,0.30777014357142857,2.4642857142857144,128.33926167857143
North America,1990,21699.2492,0.42377210600000004,2.4,63.2085872
North America,1991,19267.46828333333,0.46697977166666665,2.1666666666666665,67.18271716666668
North America,1992,20835.015349999998,0.45124471000000005,2.0,56.843235166666666
North America,1993,19145.862566666667,0.44035520666666667,2.3333333333333335,65.52138783333334
North America,1994,24474.7707,0.45281382800000003,2.4,58.5841214
North America,1995,20971.03466666667,0.46668166000000005,2.3333333333333335,80.00075316666667
North America,1996,18843.1569125,0.4574964375,2.25,70.733947
North America,1997,22117.4495,0.4649876866666666,2.5,92.19560133333333
North America,1998,18635.985233333333,0.4943348933333333,2.111111111111111,75.92595655555556
North America,1999,21258.671671428572,0.4691565628571429,2.4285714285714284,83.98184857142857
North America,2000,22416.200975,0.48515999,2.375,72.58221075
North America,2001,18121.001766666668,0.5010267822222222,2.2222222222222223,72.84921700000001
North America,2002,20755.628833333336,0.48660999666666666,2.3333333333333335,76.01424977777778
North America,2003,22762.222857142857,0.4859523885714286,2.4285714285714284,81.14247671428572
North America,2004,21576.904555555557,0.4788460588888889,2.3333333333333335,81.401433
North America,2005,21646.296888888886,0.48174558777777776,2.3333333333333335,79.54433511111111
North America,2006,22803.50615555556,0.48762354666666663,2.3333333333333335,79.89583288888889
North America,2007,25728.46255714286,0.46646249428571424,2.4285714285714284,86.29379314285714
North America,2008,25446.0840625,0.471750365,2.375,85.256432875
North America,2009,22830.961,0.4585120075,2.125,73.827713
North America,2010,25298.1727875,0.45604363375,2.25,74.955157375
North America,2011,26744.02337142857,0.45182384,2.2857142857142856,82.95313657142857
North America,2012,24012.8795,0.4733365544444445,2.111111111111111,75.03068833333333
North America,2013,27922.130857142856,0.4514711742857143,2.2857142857142856,77.53562171428572
North America,2014,23848.99516,0.45282250900000004,2.1,74.6902753
North America,2015,29153.48967142857,0.4416333471428571,2.2857142857142856,69.597369
North America,2016,28671.80625,0.4441946625,2.25,67.287726875
North America,2017,30381.103914285715,0.43193903857142857,2.2857142857142856,66.81267628571428
North America,2018,27774.159222222224,0.4265806088888889,2.2222222222222223,72.06142688888889
North America,2019,31600.972714285715,0.4288132357142857,2.2857142857142856,66.44746971428572
North America,2020,32379.566749999998,0.43287473,2.5,51.09196725
North America,2021,31822.695399999997,0.433545978,2.2,62.14174039999999
North America,2022,30688.6458,0.41534405799999996,2.2,67.978515
North America,2023,31078.3255,0.478025885,2.5,81.002533
Oceania,1995,38014.33,0.3257863,3.0,37.704044
Oceania,1996,4167.036,0.45765835,2.0,107.80335
Oceania,2001,44667.926,0.33462042,3.0,44.218704
Oceania,2002,9724.101,0.38102055,1.0,126.05258
Oceania,2003,46798.09,0.3349686,3.0,40.20157
Oceania,2004,48256.25,0.3305577,3.0,37.009613
Oceania,2005,2287.26,0.46088147,2.0,66.574585
Oceania,2008,30834.627,0.379020485,1.5,86.9223125
Oceania,2010,27585.8148,0.360040125,2.5,72.1724485
Oceania,2012,2743.4534,0.37054926,2.0,104.82363
Oceania,2013,11019.298,0.36696598,0.0,126.34839
Oceania,2014,54470.16,0.34398198,3.0,42.484024
Oceania,2016,55507.977,0.33685225,3.0,40.97408
Oceania,2018,56600.438,0.34332561,3.0,43.736065
Oceania,2019,8539.773000000001,0.31512222,1.5,103.3972125
South America,1990,11220.007666666666,0.5284090666666666,1.6666666666666667,56.06987633333333
South America,1992,10321.495074999999,0.4968200675,1.75,96.0230285
South America,1993,12669.429,0.600656,2.0,19.599321
South America,1994,11707.633,0.54875645,2.0,48.496388499999995
South America,1995,12229.355500000001,0.588355025,2.0,67.524265
South America,1996,13633.721666666666,0.5716220166666667,2.3333333333333335,35.20014916666667
South America,1997,9673.5665,0.565100045,1.75,49.112421749999996
South America,1998,11605.281525,0.538097425,2.0,76.76755625
South America,1999,9638.340233333334,0.5724760833333333,1.8333333333333333,43.54366733333333
South America,2000,10306.07426,0.5561758539999999,2.0,47.583822399999995
South America,2001,9708.8401,0.558051694,2.0,42.747063000000004
South America,2002,9825.45374,0.568450542,2.0,44.9284014
South America,2003,12071.0265,0.5402218383333334,2.1666666666666665,50.243250999999994
South America,2004,10350.232166666667,0.53745993,2.0,50.18683683333333
South America,2005,10651.185749999999,0.539360845,2.0,54.41481266666667
South America,2006,13596.918785714286,0.51646275,2.2857142857142856,62.66052771428571
South America,2007,12774.8395,0.5204543266666667,2.1666666666666665,60.68413533333333
South America,2008,13558.735428571428,0.50459955,2.142857142857143,61.18599485714286
South America,2009,14824.777075,0.4934760525,2.25,52.78386075
South America,2010,15140.954000000002,0.48882314400000004,2.2,56.934269799999996
South America,2011,16427.491375,0.48048683124999997,2.25,59.516247625
South America,2012,15531.003857142858,0.4724805285714286,2.142857142857143,56.90673171428572
South America,2013,17613.427375,0.47356533,2.25,55.806870875
South America,2014,16622.6865,0.4733530728571429,2.142857142857143,53.41259842857143
South America,2015,18040.1785,0.46503203125000003,2.25,49.728807125
South America,2016,16724.205142857143,0.4648871842857143,2.142857142857143,45.612930857142864
South America,2017,18372.40975,0.46111290875,2.25,47.61535375
South America,2018,17163.37207142857,0.45760556714285716,2.142857142857143,48.43176042857143
South America,2019,17200.837285714286,0.45577792714285714,1.8571428571428572,48.40564085714285
South America,2020,17204.6685,0.45965989875,2.0,45.96567775
South America,2021,16985.655857142858,0.45510136714285715,2.142857142857143,53.104048285714285
South America,2022,20407.293928571427,0.4590733071428571,2.2857142857142856,59.046013
South America,2023,14472.316,0.44579506,2.0,57.847755
